auc1,auc2,gap,center2,tau_r,recovered,recovered_within_window,t_return,functional_time,x_max
0.5,1.0,12,22,18.632653061224488,False,False,,-inf,1.0120917011660486
0.5,1.0,12,22,19.122448979591837,False,False,,-inf,1.0203260067926283
0.5,1.0,12,22,19.612244897959183,False,False,,-inf,1.0282597016840955
0.5,1.0,12,22,20.10204081632653,False,False,,-inf,1.035941972736764
0.5,1.0,12,22,20.591836734693878,False,False,,-inf,1.0433646067879054
0.5,1.0,12,22,21.081632653061224,False,False,,-inf,1.0505425665999062
0.5,1.0,12,22,21.57142857142857,False,False,,-inf,1.0575037876667808
0.5,1.0,12,22,22.06122448979592,False,False,,-inf,1.064231393293307
0.5,1.0,12,22,22.551020408163264,False,False,,-inf,1.0707643893091445
0.5,1.0,12,22,23.04081632653061,False,False,,-inf,1.0770949955047229
0.5,1.0,12,22,23.53061224489796,False,False,,-inf,1.0832230356291461
0.5,1.0,12,22,24.020408163265305,False,False,,-inf,1.0891924054957087
0.5,1.0,12,22,24.51020408163265,False,False,,-inf,1.0949765387737187
0.5,1.0,12,22,25.0,False,False,,-inf,1.1005871506114726
0.5,1.0,16,26,1.0,True,True,30.5,19.5,0.18200122024394225
0.5,1.0,16,26,1.489795918367347,True,True,31.75,18.25,0.25194726218707886
0.5,1.0,16,26,1.9795918367346939,True,True,32.95,17.049999999999997,0.3107159935017655
0.5,1.0,16,26,2.4693877551020407,True,True,34.25,15.75,0.360776586684249
0.5,1.0,16,26,2.9591836734693877,True,True,35.550000000000004,14.449999999999996,0.4042569864305406
0.5,1.0,16,26,3.4489795918367347,True,True,36.95,13.049999999999997,0.44273149238177495
0.5,1.0,16,26,3.9387755102040813,True,True,38.35,11.649999999999999,0.4774207328502128
0.5,1.0,16,26,4.428571428571429,True,True,39.800000000000004,10.199999999999996,0.5091129273008425
0.5,1.0,16,26,4.918367346938775,True,True,41.25,8.75,0.5384022104985502
0.5,1.0,16,26,5.408163265306122,True,True,42.75,7.25,0.5656946852361407
0.5,1.0,16,26,5.8979591836734695,True,True,44.25,5.75,0.5913255127219372
0.5,1.0,16,26,6.387755102040816,True,True,45.75,4.25,0.61546900826071
0.5,1.0,16,26,6.877551020408163,True,True,47.25,2.75,0.6383033638693317
0.5,1.0,16,26,7.36734693877551,True,True,48.800000000000004,1.1999999999999957,0.659984709584638
0.5,1.0,16,26,7.857142857142857,True,False,50.300000000000004,-0.30000000000000426,0.6805974558383958
0.5,1.0,16,26,8.346938775510203,True,False,51.85,-1.8500000000000014,0.7002282411206283
0.5,1.0,16,26,8.83673469387755,True,False,53.400000000000006,-3.4000000000000057,0.7189513946453145
0.5,1.0,16,26,9.326530612244898,True,False,55.0,-5.0,0.7368378288642213
0.5,1.0,16,26,9.816326530612244,True,False,56.550000000000004,-6.550000000000004,0.7539493200610736
0.5,1.0,16,26,10.306122448979592,True,False,58.150000000000006,-8.150000000000006,0.7703233573478493
0.5,1.0,16,26,10.795918367346939,True,False,59.7,-9.700000000000003,0.7860024687279471
0.5,1.0,16,26,11.285714285714285,True,False,61.300000000000004,-11.300000000000004,0.8010248603351421
0.5,1.0,16,26,11.775510204081632,True,False,62.900000000000006,-12.900000000000006,0.8154652939880059
0.5,1.0,16,26,12.26530612244898,True,False,64.5,-14.5,0.8293190918231682
