sigma,tau_r,recovery_probability,mean_t_return,mean_functional_time,std_functional_time,mean_x_max,tau_sigma_ratio
2.8469387755102042,10.306122448979592,0.9666666666666667,38.26833333333334,11.731666666666664,5.67189810917999,0.6338641412081442,3.6200716845878134
2.8469387755102042,10.795918367346939,0.9666666666666667,39.385000000000005,10.614999999999998,6.375764321997417,0.644597807073751,3.792114695340502
2.8469387755102042,11.285714285714285,0.9666666666666667,40.053333333333335,9.946666666666664,6.331856149570249,0.6547719443704073,3.9641577060931894
2.8469387755102042,11.775510204081632,0.8,42.825,7.174999999999998,8.699710161640544,0.6644525480047482,4.136200716845877
2.8469387755102042,12.26530612244898,0.8,43.656666666666666,6.34333333333333,8.446726904683189,0.6735835769174209,4.308243727598566
2.8469387755102042,12.755102040816325,0.7666666666666667,44.49166666666667,5.508333333333331,8.490462025255097,0.6822089634405757,4.4802867383512535
2.8469387755102042,13.244897959183673,0.7,45.186666666666675,4.813333333333331,8.348238853436271,0.6903730094795916,4.652329749103942
2.8469387755102042,13.73469387755102,0.6333333333333333,46.15166666666667,3.8483333333333305,8.701243305268004,0.6981103762428412,4.82437275985663
2.8469387755102042,14.224489795918368,0.6,47.02166666666667,2.9783333333333313,9.176719826910333,0.7055426600149267,4.996415770609319
2.8469387755102042,14.714285714285714,0.6,48.13333333333333,1.866666666666664,8.85876084326476,0.7126586279010746,5.168458781362006
2.8469387755102042,15.204081632653061,0.6,48.69500000000001,1.304999999999997,8.684631193408116,0.7194711658216015,5.340501792114695
2.8469387755102042,15.693877551020408,0.5666666666666667,49.655,0.3449999999999972,8.341063253980069,0.7260627299551693,5.512544802867383
2.8469387755102042,16.183673469387756,0.5,51.05166666666667,-1.0516666666666696,9.333435292957041,0.7323789844633023,5.684587813620071
2.8469387755102042,16.6734693877551,0.43333333333333335,52.201666666666675,-2.201666666666669,9.561835808200664,0.7384058308450757,5.856630824372759
2.8469387755102042,17.163265306122447,0.4,53.265,-3.2650000000000023,9.374922068641608,0.7441874031920468,6.028673835125447
2.8469387755102042,17.653061224489797,0.3,55.10517241379311,-5.105172413793107,9.230658783443069,0.7497267605883083,6.200716845878136
2.8469387755102042,18.142857142857142,0.26666666666666666,55.16250000000001,-5.162500000000003,9.29852263255557,0.7550726026092881,6.3727598566308234
2.8469387755102042,18.632653061224488,0.23333333333333334,56.075,-6.075000000000004,10.106548115692856,0.760334309163739,6.5448028673835115
2.8469387755102042,19.122448979591837,0.23333333333333334,58.3875,-8.387500000000003,10.964155614242866,0.7653739603493858,6.7168458781362
2.8469387755102042,19.612244897959183,0.23333333333333334,58.10925925925926,-8.109259259259263,10.337609054740899,0.7702236412318976,6.888888888888888
2.8469387755102042,20.10204081632653,0.23333333333333334,59.228846153846156,-9.228846153846158,10.640368161646695,0.7748801203506264,7.060931899641576
2.8469387755102042,20.591836734693878,0.2,59.80961538461539,-9.809615384615388,10.593545386043042,0.779362380131892,7.232974910394265
2.8469387755102042,21.081632653061224,0.2,60.114000000000004,-10.114000000000004,9.860437786089083,0.7836805559272265,7.4050179211469525
2.8469387755102042,21.57142857142857,0.2,61.09166666666667,-11.091666666666669,10.369391272505771,0.7878349635038556,7.5770609318996405
2.8469387755102042,22.06122448979592,0.13333333333333333,61.84782608695652,-11.847826086956525,9.988988007947796,0.7918637884889927,7.749103942652329
2.8469387755102042,22.551020408163264,0.1,62.286956521739135,-12.286956521739134,9.789189508089853,0.7957703428552318,7.921146953405017
2.8469387755102042,23.04081632653061,0.1,62.243181818181824,-12.243181818181823,9.357213864110475,0.7995351255653199,8.093189964157705
2.8469387755102042,23.53061224489796,0.06666666666666667,63.618181818181824,-13.618181818181823,9.811649362032014,0.8031656714851276,8.265232974910393
2.8469387755102042,24.020408163265305,0.06666666666666667,64.37045454545455,-14.37045454545455,9.424823594293413,0.8066689942806674,8.437275985663081
2.8469387755102042,24.51020408163265,0.03333333333333333,66.76904761904763,-16.76904761904762,7.913650803998055,0.8100516303910147,8.60931899641577
2.8469387755102042,25.0,0.0,67.93571428571428,-17.93571428571429,6.8594121988903485,0.8133201266997785,8.781362007168457
3.0816326530612246,1.0,1.0,15.086666666666668,34.913333333333334,0.766759114865866,0.13771973815029823,0.32450331125827814
3.0816326530612246,1.489795918367347,1.0,16.546666666666667,33.45333333333333,0.8055768262484369,0.1891151027421227,0.4834437086092715
3.0816326530612246,1.9795918367346939,1.0,17.873333333333335,32.126666666666665,0.9527395466118541,0.23586057801679436,0.6423841059602649
3.0816326530612246,2.4693877551020407,1.0,18.855000000000004,31.144999999999996,0.9918069542419834,0.2775861483677022,0.8013245033112583
3.0816326530612246,2.9591836734693877,1.0,20.045,29.955,0.9989088874953721,0.3155154390268668,0.9602649006622516
3.0816326530612246,3.4489795918367347,1.0,21.166666666666668,28.833333333333332,1.1964266720569197,0.3496725506120763,1.119205298013245
3.0816326530612246,3.9387755102040813,1.0,22.490000000000002,27.509999999999998,1.2732933134470492,0.38068102759150624,1.2781456953642383
3.0816326530612246,4.428571428571429,1.0,23.485000000000003,26.514999999999997,1.5643743929696978,0.4084471629447046,1.4370860927152316
