sigma,tau_r,trial,noise_strength,recovered,recovered_within_window,t_return,functional_time,x_max,tau_sigma_ratio,sigma_tau_ratio
0.5,3.9387755102040813,23,0.02,True,True,20.400000000000002,29.599999999999998,0.7893751062070727,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,24,0.02,True,True,20.950000000000003,29.049999999999997,0.7614493117692382,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,25,0.02,True,True,24.25,25.75,0.7774662703464986,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,26,0.02,True,True,20.5,29.5,0.8037465382531745,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,27,0.02,True,True,20.150000000000002,29.849999999999998,0.7763235466324372,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,28,0.02,True,True,19.5,30.5,0.7526674689413724,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,29,0.02,True,True,21.900000000000002,28.099999999999998,0.7589593518454729,7.877551020408163,0.12694300518134716
0.5,4.428571428571429,0,0.02,True,True,19.400000000000002,30.599999999999998,0.8149788613239074,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,1,0.02,True,True,24.950000000000003,25.049999999999997,0.8297656320230942,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,2,0.02,True,True,23.200000000000003,26.799999999999997,0.8147708123003936,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,3,0.02,True,True,23.650000000000002,26.349999999999998,0.8120775615430339,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,4,0.02,True,True,25.0,25.0,0.7996146185694804,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,5,0.02,True,True,23.5,26.5,0.7984010792554861,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,6,0.02,True,True,22.05,27.95,0.8104260989595549,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,7,0.02,True,True,21.0,29.0,0.7788489637756961,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,8,0.02,True,True,23.3,26.7,0.8076964105646525,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,9,0.02,True,True,22.35,27.65,0.8088776920312268,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,10,0.02,True,True,23.05,26.95,0.7993121445591136,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,11,0.02,True,True,21.5,28.5,0.7730651728567297,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,12,0.02,True,True,23.05,26.95,0.7499960191118008,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,13,0.02,True,True,22.5,27.5,0.7797586082906632,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,14,0.02,True,True,21.85,28.15,0.768303699887107,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,15,0.02,True,True,21.0,29.0,0.7939876186438931,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,16,0.02,True,True,21.400000000000002,28.599999999999998,0.8440988943886661,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,17,0.02,True,True,22.05,27.95,0.8120106768434777,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,18,0.02,True,True,23.700000000000003,26.299999999999997,0.824553238205483,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,19,0.02,True,True,21.35,28.65,0.7982978365777427,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,20,0.02,True,True,22.400000000000002,27.599999999999998,0.816848525402573,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,21,0.02,True,True,25.1,24.9,0.8162269457301821,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,22,0.02,True,True,25.400000000000002,24.599999999999998,0.8447491247938034,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,23,0.02,True,True,21.0,29.0,0.8067553029208078,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,24,0.02,True,True,21.450000000000003,28.549999999999997,0.7806731364022006,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,25,0.02,True,True,24.5,25.5,0.7966195756387646,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,26,0.02,True,True,22.85,27.15,0.8221877169446963,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,27,0.02,True,True,23.400000000000002,26.599999999999998,0.7972752112629169,8.857142857142858,0.11290322580645161
0.5,4.428571428571429,28,0.02,True,True,21.150000000000002,28.849999999999998,0.7728431734329617,8.857142857142858,0.11290322580645161
